workout_date,exercise,set_number,reps,weight,notes
2026-01-05,Bench Press,1,9,60.0,progres vizibil
2026-01-05,Bench Press,2,8,60.0,usor
2026-01-05,Bench Press,3,5,62.5,
2026-01-05,Overhead Press,1,8,40.0,usor
2026-01-05,Overhead Press,2,8,40.0,
2026-01-05,Overhead Press,3,5,42.5,
2026-01-05,Incline Dumbbell Press,1,9,22.5,
2026-01-05,Incline Dumbbell Press,2,11,22.5,
2026-01-05,Incline Dumbbell Press,3,8,24.5,greutate grea
2026-01-07,Barbell Row,1,8,55.0,
2026-01-07,Barbell Row,2,7,55.0,usor
2026-01-07,Barbell Row,3,7,57.5,
2026-01-07,Deadlift,1,5,90.0,solid
2026-01-07,Deadlift,2,4,90.0,progres vizibil
2026-01-07,Deadlift,3,3,95.0,solid
2026-01-07,Pull-Up,1,5,0.0,
2026-01-07,Pull-Up,2,6,0.0,solid
2026-01-07,Pull-Up,3,7,0.0,obosit spre final
2026-01-09,Back Squat,1,8,72.5,
2026-01-09,Back Squat,2,8,72.5,obosit spre final
2026-01-09,Back Squat,3,7,75.0,obosit spre final
2026-01-09,Romanian Deadlift,1,11,55.0,
2026-01-09,Romanian Deadlift,2,9,55.0,progres vizibil
2026-01-09,Romanian Deadlift,3,8,57.5,solid
2026-01-12,Bench Press,1,8,60.0,progres vizibil
2026-01-12,Bench Press,2,8,60.0,obosit spre final
2026-01-12,Bench Press,3,5,60.0,obosit spre final
2026-01-12,Overhead Press,1,9,40.0,progres vizibil
2026-01-12,Overhead Press,2,9,40.0,solid
2026-01-12,Overhead Press,3,7,40.0,progres vizibil
2026-01-12,Incline Dumbbell Press,1,9,22.5,solid
2026-01-12,Incline Dumbbell Press,2,11,22.5,
2026-01-12,Incline Dumbbell Press,3,7,22.5,progres vizibil
2026-01-14,Barbell Row,1,9,55.0,
2026-01-14,Barbell Row,2,8,55.0,solid
2026-01-14,Barbell Row,3,5,55.0,solid
2026-01-14,Deadlift,1,4,90.0,solid
2026-01-14,Deadlift,2,5,90.0,
2026-01-14,Deadlift,3,5,90.0,
2026-01-14,Pull-Up,1,5,0.0,
2026-01-14,Pull-Up,2,6,0.0,greutate grea
2026-01-14,Pull-Up,3,7,0.0,muschi obositi
2026-01-16,Back Squat,1,7,72.5,
2026-01-16,Back Squat,2,8,72.5,
2026-01-16,Back Squat,3,7,72.5,
2026-01-16,Romanian Deadlift,1,11,55.0,usor
2026-01-16,Romanian Deadlift,2,10,55.0,greutate grea
2026-01-16,Romanian Deadlift,3,9,55.0,progres vizibil
2026-01-19,Bench Press,1,8,60.0,
2026-01-19,Bench Press,2,8,62.5,
2026-01-19,Bench Press,3,6,62.5,
2026-01-19,Overhead Press,1,9,40.0,obosit spre final
2026-01-19,Overhead Press,2,9,42.5,forma buna
2026-01-19,Overhead Press,3,7,42.5,muschi obositi
2026-01-19,Incline Dumbbell Press,1,10,22.5,
2026-01-19,Incline Dumbbell Press,2,10,24.5,
2026-01-19,Incline Dumbbell Press,3,9,24.5,muschi obositi
2026-01-21,Barbell Row,1,7,55.0,
2026-01-21,Barbell Row,2,9,57.5,muschi obositi
2026-01-21,Barbell Row,3,6,57.5,
2026-01-21,Deadlift,1,6,90.0,forma buna
2026-01-21,Deadlift,2,4,95.0,solid
2026-01-21,Deadlift,3,4,95.0,usor
2026-01-21,Pull-Up,1,4,0.0,usor
2026-01-21,Pull-Up,2,6,0.0,obosit spre final
2026-01-21,Pull-Up,3,7,0.0,
2026-01-23,Back Squat,1,9,72.5,solid
2026-01-23,Back Squat,2,8,75.0,
2026-01-23,Back Squat,3,7,75.0,
2026-01-23,Romanian Deadlift,1,11,55.0,
2026-01-23,Romanian Deadlift,2,11,57.5,
2026-01-23,Romanian Deadlift,3,8,57.5,
2026-01-26,Bench Press,1,7,60.0,progres vizibil
2026-01-26,Bench Press,2,8,62.5,progres vizibil
2026-01-26,Bench Press,3,5,65.0,muschi obositi
2026-01-26,Overhead Press,1,8,40.0,greutate grea
2026-01-26,Overhead Press,2,8,42.5,forma buna
2026-01-26,Overhead Press,3,5,45.0,forma buna
